"","pays1","pays2","dist"
"347","South Africa","San Marino",7507.29782153399
"348","South Africa","Sin Cowe Island",9660.84390444437
"349","South Africa","Tobago",9373.68196845877
"350","South Africa","Barbados",9374.67815150525
"351","South Africa","Bahrain",5725.33340021806
"352","South Africa","Grenada",9525.04841058787
"353","South Africa","Jamaica",11239.2465939839
"354","South Africa","Sri Lanka",6179.74400265909
"355","South Africa","Barbuda",9845.27847892378
"356","South Africa","Puerto Rico",10232.3999850595
"357","South Africa","Cyprus",6289.70652451209
"358","South Africa","Trinidad",9360.37229295077
"359","South Africa","Saint Lucia",9545.39650526433
"360","South Africa","Mauritius",2591.7553416251
"361","South Africa","Saint Vincent",9534.25214802223
"362","South Africa","Spratly Island",9424.1392942404
"363","South Africa","Dominica",9662.4878844572
"364","South Africa","Antigua",9803.85339490493
"365","South Africa","Bonaire",10142.2047890141
"366","South Africa","Aruba",10336.5556416941
"367","South Africa","Martinique",9586.09853437271
"368","South Africa","Isle of Wight",8593.70121331865
"369","South Africa","Saint-Martin",9985.71170398336
"370","South Africa","Curacao",10209.8855605666
"371","Denmark","Canada",3963.90872548016
"372","Denmark","South Africa",8753.65586546706
"373","Denmark","USSR",590.490722975174
"374","Denmark","Pakistan",4858.22450017505
"375","Denmark","Aral Sea",3465.89723957133
"376","Denmark","Italy",903.104778879918
"377","Denmark","Nicaragua",8735.79540015413
"378","Denmark","Netherlands",208.893311204531
"379","Denmark","Caspian Sea",2809.85762422595
"380","Denmark","Mexico",8336.70476461289
"381","Denmark","Iraq",3170.17317119191
"382","Denmark","Lake Malawi",7529.80636969465
"383","Denmark","Ethiopia",4820.10364464454
"384","Denmark","USA",5058.88943196062
"385","Denmark","Mongolia",4943.19962206216
"386","Denmark","Switzerland",793.284237237202
"387","Denmark","Cambodia",8832.07954781177
"388","Denmark","France",608.073785110029
"389","Denmark","Guatemala",8804.29173486977
"390","Denmark","Belize",8704.5043709268
"391","Denmark","Honduras",8698.36050483335
"392","Denmark","El Salvador",9087.16767323512
"393","Denmark","Costa Rica",9110.06834313577
"394","Denmark","Panama",8934.68929002174
"395","Denmark","Colombia",8232.04853683106
"396","Denmark","Ecuador",9653.22271010565
"397","Denmark","Peru",9527.66377936269
"398","Denmark","Brazil",7738.75232889461
"399","Denmark","Bolivia",9877.51174081444
"400","Denmark","Chile",10838.4536592757
"401","Denmark","Argentina",10721.3520278203
"402","Denmark","Paraguay",10396.0420984969
"403","Denmark","Uruguay",11328.7070233388
"404","Denmark","Guyana",7878.37775510411
"405","Denmark","Suriname",7756.18547133024
"406","Denmark","French Guiana",7723.32783095558
"407","Denmark","Venezuela",7802.67671794417
"408","Denmark","Lake Titicaca",10650.4879858534
"409","Denmark","Romania",1210.62901658906
"410","Denmark","Iran",3069.67167301168
"411","Denmark","Turkey",2091.89963039272
"412","Denmark","Afghanistan",4395.68037323375
"413","Denmark","China",4814.3419219563
"414","Denmark","India",5260.93786778091
"415","Denmark","Myanmar",7216.66966092318
"416","Denmark","Nepal",6074.55397171569
"417","Denmark","Bhutan",6772.67061613968
"418","Denmark","Bangladesh",6836.34798736158
"419","Denmark","Thailand",8031.31424301622
"420","Denmark","Laos",8001.58755216702
"421","Denmark","Vietnam",8027.81879205512
"422","Denmark","North Korea",7512.0287033395
"423","Denmark","Hungary",969.205271556859
"424","Denmark","Czechoslovakia",573.481687049757
"425","Denmark","Poland",346.656055809338
"426","Denmark","South Korea",7877.04503918293
"427","Denmark","Lake Pasvikelv",1585.2248866021
"428","Denmark","Bulgaria",1560.83901547253
"429","Denmark","Yugoslavia",997.680773439892
"430","Denmark","Greece",1814.80967854289
"431","Denmark","Albania",1578.56262637718
"432","Denmark","Austria",784.428772655052
"433","Denmark","Lacul Greaca",1720.70443947505
"434","Denmark","Germany",0
"435","Denmark","Luxembourg",563.181792550925
"436","Denmark","Belgium",494.565955391974
"437","Denmark","Liechtenstein",851.426451772401
"438","Denmark","Portugal",1840.38280756973
"439","Denmark","Spain",1462.21750314886
"440","Denmark","Andorra",1464.46178448417
"441","Denmark","Monaco",1242.99441601368
"442","Denmark","Norway",162.255768937333
"443","Denmark","Finland",715.894784992635
"444","Denmark","Sweden",113.376297317467
"445","Denmark","Egypt",2886.86078226784
"446","Denmark","Libya",2424.2547590481
"447","Denmark","Sudan",3897.06706736148
"448","Denmark","Chad",3542.09431385794
"449","Denmark","Tunisia",1974.46960913493
"450","Denmark","Algeria",1986.55415675528
"451","Denmark","Mali",3498.281114041
"452","Denmark","Mauritania",3370.829225472
"453","Denmark","Morocco",2356.20164805391
"454","Denmark","Western Sahara",3332.6953267082
"455","Denmark","Senegal",4686.25630246856
"456","Denmark","Gambia",4988.39546891076
"457","Denmark","Guinea-Bissau",5084.47814008625
"458","Denmark","Guinea",4975.40976529372
"459","Denmark","Ivory Coast",5067.46923604464
"460","Denmark","Liberia",5401.34600976471
"461","Denmark","Sierra Leone",5285.74238296061
"462","Denmark","Ghana",4948.55062750671
"463","Denmark","Burkina Faso",4483.18170807558
"464","Denmark","Niger",3492.76304037375
"465","Denmark","Benin",4738.93862439853
"466","Denmark","Togo",4911.56781217707
"467","Denmark","Nigeria",4554.11085696186
"468","Denmark","Cameroon",4661.17699598055
"469","Denmark","Central African Republic",5017.09083629897
"470","Denmark","Zaire",5606.59383779122
"471","Denmark","Congo",5733.67484434704
"472","Denmark","Gabon",5845.2889465723
"473","Denmark","Uganda",6036.39033174386
"474","Denmark","Rwanda",6520.88892934494
"475","Denmark","Zambia",7265.08246405287
"476","Denmark","Angola",6739.08858567533
"477","Denmark","Burundi",6651.49394683758
"478","Denmark","Namibia",7962.37872919407
"479","Denmark","Botswana",8185.01174695287
"480","Denmark","Mozambique",7759.3495629469
"481","Denmark","Swaziland",9185.99947322667
"482","Denmark","Zimbabwe",8062.54975179421
"483","Denmark","Malawi",7502.30205956588
"484","Denmark","Tanzania",6511.30896421631
"485","Denmark","Kenya",6054.68755758875
"486","Denmark","Somalia",5686.54315772776
"487","Denmark","Djibouti",5543.42500717631
"488","Denmark","Syria",2890.04851992057
"489","Denmark","Lebanon",3066.70905607284
"490","Denmark","Jordan",3233.29066004817
"491","Denmark","Israel",3165.71797350833
"492","Denmark","Gaza Strip",3269.1883704801
"493","Denmark","Saudi Arabia",3401.54474386902
"494","Denmark","Yemen",5068.87043287922
"495","Denmark","Qatar",4644.51825223577
"496","Denmark","Kuwait",4067.01271761933
"497","Denmark","Neutral Zone",4013.51160645783
"498","Denmark","Vislinskiy Zaliv",576.936523995661
"499","Denmark","Lake Albert",6186.06708099309
"500","Denmark","Lake Tanganyika",6720.05520376871
"501","Denmark","Lake Kariba",8130.49588804606
"502","Denmark","Lake Victoria",6441.88034688396
"503","Denmark","Oman",5034.79020463574
"504","Denmark","United Arab Emirates",4785.94041231342
"505","Denmark","Great Bitter Lake",3288.21258136885
"506","Denmark","West Bank",3213.96156268658
"507","Denmark","Australia",12803.3506473488
"508","Denmark","Papua New Guinea",12531.8378123834
"509","Denmark","Saint-Barthelemy",7204.21935527455
"510","Denmark","Cuba",7688.44837180279
"511","Denmark","Antarctica",13838.8586235438
"512","Denmark","Lesotho",9436.25053540365
"513","Denmark","Lake Fjerritslev",38.7386034868804
"514","Denmark","Anguilla",7201.32384891075
"515","Denmark","Nauru",13331.9109926276
"516","Denmark","Saint Kitts",7250.01808808565
"517","Denmark","Montserrat",7264.37178615347
"518","Denmark","Greenland",2079.37652450062
"519","Denmark","Sardinia",1519.51513031588
"520","Denmark","Iceland",1482.01051728859
"521","Denmark","Sicily",1923.22139001032
"522","Denmark","Sonsorol Island",11309.4987018246
"523","Denmark","Maug Island",10439.5927158412
"524","Denmark","Isle of Man",832.338046785877
"525","Denmark","Saint Eustatius",7248.60687356749
"526","Denmark","Brunei",10378.5739645876
"527","Denmark","Dominican Republic",7473.19167848588
"528","Denmark","Haiti",7601.27261135704
"529","Denmark","Ireland",971.180486225067
"530","Denmark","Nevis",7253.92985439175
"531","Denmark","Madagascar",8303.23188938154
"532","Denmark","San Marino",1251.87515279542
"533","Denmark","Sin Cowe Island",9912.87205001573
"534","Denmark","Tobago",7651.55760440145
"535","Denmark","Barbados",7418.9622766352
"536","Denmark","Bahrain",4595.48473121459
"537","Denmark","Grenada",7640.53890350158
"538","Denmark","Jamaica",8049.23055982409
"539","Denmark","Sri Lanka",7815.6238205786
"540","Denmark","Barbuda",7164.48952879009
"541","Denmark","Puerto Rico",7342.07726355326
"542","Denmark","Cyprus",2843.90041537139
"543","Denmark","Trinidad",7733.2744956693
"544","Denmark","Saint Lucia",7438.07915450136
"545","Denmark","Mauritius",9494.71105650079
"546","Denmark","Saint Vincent",7509.42948242245
"547","Denmark","Spratly Island",10001.7300223981
"548","Denmark","Dominica",7327.29155433027
"549","Denmark","Antigua",7209.43361117121
"550","Denmark","Bonaire",8051.78760018844
"551","Denmark","Aruba",8125.32300313762
"552","Denmark","Martinique",7379.04374462004
"553","Denmark","Isle of Wight",807.163708223592
"554","Denmark","Saint-Martin",7207.96397924715
"555","Denmark","Curacao",8091.97968943522
"556","USSR","Canada",1254.42092140937
"557","USSR","South Africa",6967.93224457127
"558","USSR","Denmark",590.490722975174
"559","USSR","Pakistan",28.5729769806552
"560","USSR","Aral Sea",414.834609775528
"561","USSR","Italy",668.866938124725
"562","USSR","Nicaragua",8295.51499153799
"563","USSR","Netherlands",827.184703489414
"564","USSR","Caspian Sea",0
"565","USSR","Mexico",5081.14558687765
"566","USSR","Iraq",289.622503956429
"567","USSR","Lake Malawi",5536.29009551462
"568","USSR","Ethiopia",2482.80637395025
"569","USSR","USA",3253.73575362008
"570","USSR","Mongolia",0
"571","USSR","Switzerland",893.193735769205
"572","USSR","Cambodia",3781.48995231957
"573","USSR","France",1032.17055301253
"574","USSR","Guatemala",7701.41166184128
"575","USSR","Belize",7765.77036778253
"576","USSR","Honduras",8031.22915596663
"577","USSR","El Salvador",8109.51595394638
"578","USSR","Costa Rica",8611.69806084661
"579","USSR","Panama",8904.88891948904
"580","USSR","Colombia",8961.932645369
"581","USSR","Ecuador",9915.14104692968
"582","USSR","Peru",10192.9111138966
"583","USSR","Brazil",8162.80515687901
"584","USSR","Bolivia",10551.2925679972
"585","USSR","Chile",11507.2443899048
"586","USSR","Argentina",11146.4920326163
"587","USSR","Paraguay",10951.7748473526
"588","USSR","Uruguay",11663.1639080492
"589","USSR","Guyana",8570.54028133913
"590","USSR","Suriname",8427.20902340184
"591","USSR","French Guiana",8389.55403254437
"592","USSR","Venezuela",8501.92519624905
"593","USSR","Lake Titicaca",11323.465511737
"594","USSR","Romania",0
"595","USSR","Iran",0
"596","USSR","Turkey",10.8722700318104
"597","USSR","Afghanistan",0
"598","USSR","China",0
"599","USSR","India",296.374533648996
"600","USSR","Myanmar",2182.54762649346
"601","USSR","Nepal",987.122050237089
"602","USSR","Bhutan",1712.36831176697
"603","USSR","Bangladesh",1746.88385991686
"604","USSR","Thailand",2974.09390388082
"605","USSR","Laos",2961.83084965434
"606","USSR","Vietnam",2953.64094185444
"607","USSR","North Korea",39.90461089847
"608","USSR","Hungary",0
"609","USSR","Czechoslovakia",0
"610","USSR","Poland",0
"611","USSR","South Korea",492.056794257595
"612","USSR","Lake Pasvikelv",45.9532193666135
"613","USSR","Bulgaria",191.397709292481
"614","USSR","Yugoslavia",323.60766547599
"615","USSR","Greece",445.569212385158
"616","USSR","Albania",647.974831125179
"617","USSR","Austria",385.50972214421
"618","USSR","Lacul Greaca",239.263697656383
"619","USSR","Germany",377.657235418629
"620","USSR","Luxembourg",1040.63077760699
"621","USSR","Belgium",1007.90456668998
"622","USSR","Liechtenstein",951.752917984725
"623","USSR","Portugal",2345.32205592342
"624","USSR","Spain",1626.49756518828
"625","USSR","Andorra",1718.05935449938
"626","USSR","Monaco",1246.98515728281
"627","USSR","Norway",21.1062126606969
"628","USSR","Finland",0
"629","USSR","Sweden",215.47652726084
"630","USSR","Egypt",1420.40616327306
"631","USSR","Libya",1499.83009683387
"632","USSR","Sudan",2026.31071466985
"633","USSR","Chad",2682.38894705378
"634","USSR","Tunisia",1554.90568477445
"635","USSR","Algeria",1702.85623342057
"636","USSR","Mali",3504.41812339017
"637","USSR","Mauritania",3504.41812339017
"638","USSR","Morocco",2490.2998183496
"639","USSR","Western Sahara",3509.03688451148
"640","USSR","Senegal",4833.70406921965
"641","USSR","Gambia",5088.91661198753
"642","USSR","Guinea-Bissau",5181.32778777979
"643","USSR","Guinea",4934.22593341082
"644","USSR","Ivory Coast",4912.24600089527
"645","USSR","Liberia",5350.97071012438
"646","USSR","Sierra Leone",5287.13318265853
"647","USSR","Ghana",4640.22547670766
"648","USSR","Burkina Faso",4202.88077737287
"649","USSR","Niger",2760.16727502553
"650","USSR","Benin",4356.46190036402
"651","USSR","Togo",4586.82517424666
"652","USSR","Nigeria",3772.89219644085
"653","USSR","Cameroon",3817.39703419006
